buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 250, reward:-6.772016487172121,unbalance:10.351114527538584,buffer_length: 35000
curren epsiode is 251, reward:-1.4186305768468697,unbalance:0.0,buffer_length: 36000
curren epsiode is 252, reward:-2.7699626163596394,unbalance:0.0,buffer_length: 36000
curren epsiode is 253, reward:-3.2598269205796018,unbalance:0.0,buffer_length: 36000
curren epsiode is 254, reward:-7.962747909057046,unbalance:62.9842003525104,buffer_length: 36000
curren epsiode is 255, reward:-6.030354346612903,unbalance:51.65455886618619,buffer_length: 36000
curren epsiode is 256, reward:-12.302686210746586,unbalance:522.7199096907991,buffer_length: 36000
curren epsiode is 257, reward:-2.861314826339216,unbalance:0.0,buffer_length: 36000
curren epsiode is 258, reward:-12.56437045939558,unbalance:509.6944414687557,buffer_length: 36000
curren epsiode is 259, reward:-19.081983440746612,unbalance:1050.244112649086,buffer_length: 36000
curren epsiode is 260, reward:-12.72341335753893,unbalance:398.52390792867516,buffer_length: 36000
curren epsiode is 261, reward:-9.126198978769757,unbalance:204.6517789855307,buffer_length: 37000
curren epsiode is 262, reward:-8.164483888609464,unbalance:294.85138714431764,buffer_length: 37000
curren epsiode is 263, reward:-3.1398033657913085,unbalance:0.0,buffer_length: 37000
curren epsiode is 264, reward:-7.177928429900228,unbalance:24.90400049770787,buffer_length: 37000
curren epsiode is 265, reward:-4.309205381433922,unbalance:78.47879099272993,buffer_length: 37000
curren epsiode is 266, reward:-21.101119660524944,unbalance:941.5924270242698,buffer_length: 37000
curren epsiode is 267, reward:-2.846374308474109,unbalance:0.0,buffer_length: 37000
curren epsiode is 268, reward:-5.265241796274608,unbalance:3.9909694441736008,buffer_length: 37000
curren epsiode is 269, reward:-7.356819137298065,unbalance:0.0,buffer_length: 37000
curren epsiode is 270, reward:-4.937539635376941,unbalance:0.0,buffer_length: 37000
curren epsiode is 271, reward:-4.321657844270642,unbalance:0.0,buffer_length: 38000
curren epsiode is 272, reward:-8.163804614228686,unbalance:89.62450835568421,buffer_length: 38000
curren epsiode is 273, reward:-18.61224423258628,unbalance:1035.2598271071072,buffer_length: 38000
curren epsiode is 274, reward:-8.703295437836465,unbalance:174.44778396997324,buffer_length: 38000
curren epsiode is 275, reward:-8.892150341805518,unbalance:49.194120443823294,buffer_length: 38000
curren epsiode is 276, reward:-7.193664605027854,unbalance:0.0,buffer_length: 38000
curren epsiode is 277, reward:-4.164268046750864,unbalance:0.0,buffer_length: 38000
curren epsiode is 278, reward:-3.61126273371411,unbalance:9.228341349000118,buffer_length: 38000
curren epsiode is 279, reward:-2.1107892018070076,unbalance:0.0,buffer_length: 38000
curren epsiode is 280, reward:-2.2255415214733962,unbalance:0.0,buffer_length: 38000
curren epsiode is 281, reward:-9.195322389640356,unbalance:80.13655534320822,buffer_length: 39000
curren epsiode is 282, reward:-4.359642210072292,unbalance:14.806556024865642,buffer_length: 39000
curren epsiode is 283, reward:-6.67231579490857,unbalance:178.51465962463868,buffer_length: 39000
curren epsiode is 284, reward:-4.108961954057385,unbalance:0.0,buffer_length: 39000
curren epsiode is 285, reward:-5.392233404035011,unbalance:25.89346540370468,buffer_length: 39000
curren epsiode is 286, reward:-16.138818281415407,unbalance:702.3598508586516,buffer_length: 39000
curren epsiode is 287, reward:-2.4869401183731377,unbalance:23.045684682422618,buffer_length: 39000
curren epsiode is 288, reward:-3.51247157236197,unbalance:0.0,buffer_length: 39000
curren epsiode is 289, reward:-5.199844942696196,unbalance:54.31640195788546,buffer_length: 39000
curren epsiode is 290, reward:-9.537053735033629,unbalance:74.44671903661464,buffer_length: 39000
curren epsiode is 291, reward:-6.714596282447422,unbalance:65.17179650871003,buffer_length: 40000
curren epsiode is 292, reward:-1.98650505430105,unbalance:87.38372035137158,buffer_length: 40000
curren epsiode is 293, reward:-4.147581595506952,unbalance:72.86366554847837,buffer_length: 40000
curren epsiode is 294, reward:-8.13805264534011,unbalance:41.77084474968859,buffer_length: 40000
curren epsiode is 295, reward:-12.297514592774263,unbalance:610.7460659302212,buffer_length: 40000
curren epsiode is 296, reward:-5.579975169032978,unbalance:84.96071142524522,buffer_length: 40000
curren epsiode is 297, reward:-7.626019431675152,unbalance:239.43021189729998,buffer_length: 40000
curren epsiode is 298, reward:-7.655181475179112,unbalance:244.1090036586983,buffer_length: 40000
curren epsiode is 299, reward:-2.9118854076723215,unbalance:0.0,buffer_length: 40000
curren epsiode is 300, reward:-6.532702946021255,unbalance:24.791855490462865,buffer_length: 40000
